DATE,Fiveyr,Sevenyr,Tenyr,Twentyyr,Thirtyyr
07/06/21,-1.67,-1.28,-0.94,-0.47,-0.26
07/02/21,-1.63,-1.23,-0.89,-0.43,-0.22
07/01/21,-1.6,-1.21,-0.87,-0.41,-0.21
06/30/21,-1.6,-1.21,-0.87,-0.4,-0.2
06/29/21,-1.57,-1.16,-0.83,-0.38,-0.17
06/28/21,-1.55,-1.16,-0.84,-0.4,-0.19
06/25/21,-1.54,-1.13,-0.8,-0.34,-0.13
06/24/21,-1.55,-1.15,-0.81,-0.36,-0.16
06/23/21,-1.59,-1.19,-0.84,-0.36,-0.16
06/22/21,-1.59,-1.19,-0.83,-0.36,-0.17
06/21/21,-1.51,-1.11,-0.75,-0.31,-0.12
06/18/21,-1.48,-1.1,-0.79,-0.38,-0.21
06/17/21,-1.41,-0.94,-0.75,-0.36,-0.15
06/16/21,-1.52,-1.09,-0.75,-0.31,-0.11
06/15/21,-1.67,-1.21,-0.87,-0.38,-0.15
06/14/21,-1.64,-1.19,-0.85,-0.37,-0.15
06/11/21,-1.67,-1.21,-0.85,-0.37,-0.14
06/10/21,-1.74,-1.27,-0.9,-0.39,-0.16
06/09/21,-1.66,-1.19,-0.82,-0.33,-0.11
06/08/21,-1.7,-1.21,-0.83,-0.32,-0.09
06/07/21,-1.72,-1.22,-0.82,-0.29,-0.06
06/04/21,-1.76,-1.26,-0.84,-0.31,-0.08
06/03/21,-1.72,-1.22,-0.79,-0.25,-0.03
06/02/21,-1.79,-1.28,-0.85,-0.29,-0.05
06/01/21,-1.79,-1.26,-0.84,-0.29,-0.05
05/28/21,-1.78,-1.27,-0.84,-0.3,-0.06
05/27/21,-1.78,-1.25,-0.81,-0.25,-0.02
05/26/21,-1.8,-1.27,-0.82,-0.26,-0.03
05/25/21,-1.84,-1.3,-0.86,-0.29,-0.05
05/24/21,-1.82,-1.28,-0.83,-0.25,0
05/21/21,-1.78,-1.25,-0.8,-0.21,0.03
05/20/21,-1.76,-1.22,-0.78,-0.21,0.04
05/19/21,-1.79,-1.25,-0.8,-0.21,0.04
05/18/21,-1.89,-1.34,-0.88,-0.27,0
05/17/21,-1.88,-1.29,-0.9,-0.3,-0.02
05/14/21,-1.86,-1.27,-0.88,-0.3,-0.02
05/13/21,-1.81,-1.18,-0.85,-0.26,0.03
05/12/21,-1.85,-1.23,-0.85,-0.25,0.04
05/11/21,-1.88,-1.29,-0.89,-0.29,0
05/10/21,-1.91,-1.27,-0.91,-0.32,-0.03
05/07/21,-1.88,-1.23,-0.89,-0.31,-0.03
05/06/21,-1.85,-1.24,-0.87,-0.3,-0.03
05/05/21,-1.88,-1.21,-0.88,-0.32,-0.05
05/04/21,-1.8,-1.16,-0.81,-0.27,0
05/03/21,-1.76,-1.14,-0.79,-0.25,0.02
04/30/21,-1.71,-1.06,-0.76,-0.24,0.02
04/29/21,-1.7,-1.06,-0.77,-0.26,0.01
04/28/21,-1.68,-1.08,-0.78,-0.27,-0.02
04/27/21,-1.63,-1.03,-0.76,-0.26,-0.01
04/26/21,-1.62,-1.05,-0.78,-0.28,-0.02
04/23/21,-1.61,-1.04,-0.76,-0.26,0
04/22/21,-1.61,-1.02,-0.76,-0.27,0
04/21/21,-1.72,-1.2,-0.76,-0.23,0.02
04/20/21,-1.71,-1.18,-0.74,-0.22,0.04
04/19/21,-1.71,-1.18,-0.73,-0.2,0.05
04/16/21,-1.73,-1.2,-0.77,-0.25,0.01
04/15/21,-1.74,-1.21,-0.77,-0.25,0.01
04/14/21,-1.69,-1.14,-0.69,-0.16,0.1
04/13/21,-1.69,-1.14,-0.69,-0.17,0.09
04/12/21,-1.63,-1.09,-0.64,-0.12,0.13
04/09/21,-1.64,-1.09,-0.64,-0.11,0.14
04/08/21,-1.7,-1.14,-0.69,-0.16,0.1
04/07/21,-1.66,-1.11,-0.66,-0.13,0.12
04/06/21,-1.64,-1.1,-0.65,-0.15,0.1
04/05/21,-1.61,-1.07,-0.62,-0.14,0.1
04/02/21,-1.61,-1.08,-0.64,-0.16,0.07
04/01/21,-1.65,-1.11,-0.66,-0.16,0.07
03/31/21,-1.62,-1.08,-0.63,-0.13,0.11
03/30/21,-1.62,-1.07,-0.62,-0.14,0.09
03/29/21,-1.67,-1.11,-0.63,-0.13,0.1
03/26/21,-1.72,-1.15,-0.67,-0.17,0.06
03/25/21,-1.72,-1.16,-0.69,-0.19,0.05
03/24/21,-1.7,-1.15,-0.69,-0.2,0.03
03/23/21,-1.65,-1.12,-0.66,-0.17,0.05
03/22/21,-1.64,-1.1,-0.64,-0.15,0.08
03/19/21,-1.61,-1.05,-0.57,-0.06,0.18
03/18/21,-1.64,-1.06,-0.56,-0.03,0.21
03/17/21,-1.78,-1.19,-0.67,-0.09,0.17
03/16/21,-1.76,-1.18,-0.68,-0.12,0.14
03/15/21,-1.7,-1.14,-0.65,-0.1,0.16
03/12/21,-1.66,-1.11,-0.62,-0.05,0.21
03/11/21,-1.73,-1.2,-0.74,-0.19,0.08
03/10/21,-1.67,-1.17,-0.73,-0.21,0.05
03/09/21,-1.58,-1.09,-0.66,-0.15,0.1
03/08/21,-1.56,-1.06,-0.62,-0.1,0.15
03/05/21,-1.64,-1.12,-0.66,-0.13,0.12
03/04/21,-1.66,-1.14,-0.66,-0.11,0.15
03/03/21,-1.72,-1.21,-0.74,-0.17,0.1
03/02/21,-1.76,-1.26,-0.78,-0.18,0.08
03/01/21,-1.69,-1.19,-0.71,-0.14,0.12
02/26/21,-1.64,-1.16,-0.71,-0.18,0.06
02/25/21,-1.53,-1.06,-0.6,-0.03,0.22
02/24/21,-1.76,-1.28,-0.79,-0.16,0.11
02/23/21,-1.76,-1.29,-0.79,-0.16,0.08
02/22/21,-1.74,-1.28,-0.79,-0.18,0.06
02/19/21,-1.7,-1.27,-0.8,-0.2,0.03
02/18/21,-1.73,-1.31,-0.87,-0.29,-0.04
02/17/21,-1.78,-1.36,-0.92,-0.33,-0.11
02/16/21,-1.8,-1.38,-0.94,-0.33,-0.11
02/12/21,-1.85,-1.44,-1.01,-0.41,-0.16
02/11/21,-1.86,-1.45,-1.04,-0.45,-0.2
02/10/21,-1.85,-1.46,-1.06,-0.49,-0.24
02/09/21,-1.83,-1.43,-1.04,-0.48,-0.22
02/08/21,-1.83,-1.43,-1.03,-0.46,-0.22
02/05/21,-1.81,-1.42,-1.02,-0.46,-0.2
02/04/21,-1.79,-1.4,-1.02,-0.49,-0.24
02/03/21,-1.81,-1.43,-1.04,-0.5,-0.25
02/02/21,-1.78,-1.4,-1.03,-0.51,-0.27
02/01/21,-1.76,-1.39,-1.02,-0.51,-0.27
01/29/21,-1.76,-1.38,-1.02,-0.52,-0.27
01/28/21,-1.76,-1.4,-1.06,-0.57,-0.31
01/27/21,-1.74,-1.38,-1.04,-0.55,-0.28
01/26/21,-1.73,-1.37,-1.03,-0.55,-0.29
01/25/21,-1.73,-1.37,-1.03,-0.56,-0.32
01/22/21,-1.72,-1.34,-0.99,-0.53,-0.3
01/21/21,-1.73,-1.34,-0.98,-0.53,-0.3
01/20/21,-1.7,-1.33,-1.02,-0.54,-0.3
01/19/21,-1.67,-1.3,-1,-0.53,-0.29
01/15/21,-1.63,-1.28,-0.99,-0.51,-0.26
01/14/21,-1.6,-1.24,-0.94,-0.48,-0.24
01/13/21,-1.56,-1.23,-0.96,-0.52,-0.28
01/12/21,-1.56,-1.22,-0.93,-0.47,-0.22
01/11/21,-1.54,-1.2,-0.91,-0.45,-0.2
01/08/21,-1.58,-1.23,-0.93,-0.46,-0.21
01/07/21,-1.63,-1.3,-1.01,-0.53,-0.28
01/06/21,-1.61,-1.3,-1.02,-0.55,-0.3
01/05/21,-1.63,-1.34,-1.07,-0.61,-0.36
01/04/21,-1.62,-1.34,-1.08,-0.63,-0.39
12/31/20,-1.59,-1.31,-1.06,-0.61,-0.37
12/30/20,-1.55,-1.28,-1.03,-0.58,-0.35
12/29/20,-1.53,-1.27,-1.02,-0.58,-0.34
12/28/20,-1.54,-1.28,-1.03,-0.58,-0.35
12/24/20,-1.55,-1.29,-1.03,-0.58,-0.35
12/23/20,-1.55,-1.28,-1.01,-0.55,-0.32
12/22/20,-1.55,-1.29,-1.01,-0.54,-0.33
12/21/20,-1.51,-1.25,-1,-0.56,-0.32
12/18/20,-1.53,-1.26,-1,-0.55,-0.32
12/17/20,-1.52,-1.27,-1,-0.56,-0.33
12/16/20,-1.53,-1.27,-1,-0.55,-0.33
12/15/20,-1.49,-1.25,-0.99,-0.56,-0.35
12/14/20,-1.47,-1.23,-0.98,-0.55,-0.34
12/11/20,-1.45,-1.21,-0.97,-0.55,-0.34
12/10/20,-1.44,-1.21,-0.96,-0.55,-0.35
12/09/20,-1.43,-1.2,-0.96,-0.53,-0.32
12/08/20,-1.45,-1.22,-0.97,-0.53,-0.32
12/07/20,-1.44,-1.21,-0.94,-0.49,-0.3
12/04/20,-1.41,-1.18,-0.92,-0.48,-0.28
12/03/20,-1.38,-1.18,-0.94,-0.51,-0.32
12/02/20,-1.34,-1.13,-0.9,-0.49,-0.29
12/01/20,-1.3,-1.11,-0.89,-0.49,-0.3
11/30/20,-1.32,-1.13,-0.93,-0.55,-0.35
11/27/20,-1.3,-1.11,-0.91,-0.53,-0.33
11/25/20,-1.28,-1.09,-0.87,-0.49,-0.29
11/24/20,-1.26,-1.07,-0.86,-0.48,-0.29
11/23/20,-1.23,-1.04,-0.85,-0.49,-0.3
11/20/20,-1.23,-1.06,-0.86,-0.49,-0.31
11/19/20,-1.23,-1.05,-0.84,-0.46,-0.27
11/18/20,-1.23,-1.05,-0.82,-0.4,-0.24
11/17/20,-1.24,-1.07,-0.83,-0.38,-0.25
11/16/20,-1.23,-1.05,-0.81,-0.36,-0.22
11/13/20,-1.23,-1.05,-0.83,-0.4,-0.24
11/12/20,-1.23,-1.06,-0.83,-0.38,-0.24
11/10/20,-1.23,-1.04,-0.78,-0.33,-0.17
11/09/20,-1.19,-1.01,-0.77,-0.33,-0.15
11/06/20,-1.18,-1.03,-0.82,-0.43,-0.24
11/05/20,-1.22,-1.07,-0.87,-0.48,-0.29
11/04/20,-1.23,-1.07,-0.86,-0.47,-0.27
11/03/20,-1.23,-1.05,-0.82,-0.42,-0.24
11/02/20,-1.22,-1.06,-0.84,-0.42,-0.26
10/30/20,-1.21,-1.04,-0.82,-0.42,-0.23
10/29/20,-1.23,-1.07,-0.86,-0.47,-0.26
10/28/20,-1.27,-1.11,-0.91,-0.5,-0.29
10/27/20,-1.3,-1.14,-0.92,-0.52,-0.3
10/26/20,-1.28,-1.12,-0.91,-0.49,-0.28
10/23/20,-1.29,-1.12,-0.9,-0.47,-0.25
10/22/20,-1.3,-1.13,-0.89,-0.45,-0.23
10/21/20,-1.2,-1.08,-0.91,-0.48,-0.26
10/20/20,-1.19,-1.08,-0.91,-0.49,-0.26
10/19/20,-1.19,-1.08,-0.93,-0.53,-0.3
10/16/20,-1.21,-1.1,-0.95,-0.56,-0.33
10/15/20,-1.2,-1.1,-0.95,-0.57,-0.33
10/14/20,-1.22,-1.11,-0.96,-0.58,-0.33
10/13/20,-1.21,-1.11,-0.96,-0.58,-0.33
10/09/20,-1.22,-1.1,-0.94,-0.52,-0.29
10/08/20,-1.23,-1.12,-0.94,-0.52,-0.29
10/07/20,-1.19,-1.07,-0.9,-0.48,-0.24
10/06/20,-1.19,-1.07,-0.9,-0.5,-0.26
10/05/20,-1.19,-1.07,-0.9,-0.5,-0.27
10/02/20,-1.2,-1.1,-0.94,-0.55,-0.33
10/01/20,-1.21,-1.11,-0.95,-0.55,-0.34
09/30/20,-1.22,-1.11,-0.94,-0.54,-0.32
09/29/20,-1.25,-1.14,-0.98,-0.59,-0.36
09/28/20,-1.22,-1.11,-0.94,-0.55,-0.34
09/25/20,-1.17,-1.07,-0.92,-0.55,-0.34
09/24/20,-1.18,-1.07,-0.91,-0.56,-0.33
09/23/20,-1.2,-1.08,-0.92,-0.55,-0.31
09/22/20,-1.23,-1.1,-0.94,-0.56,-0.3
09/21/20,-1.23,-1.11,-0.94,-0.56,-0.3
09/18/20,-1.29,-1.15,-0.97,-0.57,-0.31
09/17/20,-1.29,-1.15,-0.97,-0.57,-0.32
09/16/20,-1.29,-1.16,-0.99,-0.58,-0.32
09/15/20,-1.27,-1.15,-0.99,-0.6,-0.34
