Date,1 yr versus 3 mo,2 yr vs 3 mo,5 yr vs 2 yr,10 yr vs 2 yr,10 yr vs 3 mo
7/2/2021,0.03,0.19,0.62,1.2,1.39
7/1/2021,0.04,0.2,0.64,1.23,1.43
6/30/2021,0.02,0.2,0.62,1.2,1.4
6/29/2021,0.04,0.23,0.62,1.22,1.45
6/28/2021,0.03,0.2,0.65,1.24,1.44
6/25/2021,0.03,0.22,0.64,1.26,1.48
6/24/2021,0.03,0.21,0.64,1.23,1.44
6/23/2021,0.03,0.21,0.64,1.24,1.45
6/22/2021,0.05,0.21,0.62,1.23,1.44
6/21/2021,0.04,0.22,0.63,1.23,1.45
6/18/2021,0.04,0.21,0.63,1.19,1.4
6/17/2021,0.04,0.19,0.67,1.29,1.48
6/16/2021,0.04,0.17,0.68,1.36,1.53
6/15/2021,0.05,0.13,0.63,1.35,1.48
6/14/2021,0.02,0.13,0.64,1.35,1.48
6/11/2021,0.02,0.13,0.6,1.31,1.44
6/10/2021,0.02,0.11,0.59,1.31,1.42
6/9/2021,0.02,0.13,0.59,1.34,1.47
6/8/2021,0.03,0.12,0.63,1.39,1.51
6/7/2021,0.03,0.14,0.63,1.41,1.55
6/4/2021,0.03,0.12,0.64,1.42,1.54
6/3/2021,0.02,0.14,0.68,1.47,1.61
6/2/2021,0.03,0.11,0.67,1.46,1.57
6/1/2021,0.02,0.14,0.65,1.46,1.6
5/28/2021,0.04,0.13,0.65,1.44,1.57
5/27/2021,0.02,0.12,0.67,1.47,1.59
5/26/2021,0.02,0.12,0.66,1.44,1.56
5/25/2021,0.02,0.13,0.64,1.41,1.54
5/24/2021,0.02,0.13,0.67,1.46,1.59
5/21/2021,0.03,0.16,0.67,1.46,1.62
5/20/2021,0.04,0.14,0.68,1.48,1.62
5/19/2021,0.04,0.15,0.71,1.52,1.67
5/18/2021,0.04,0.14,0.67,1.48,1.62
5/17/2021,0.04,0.14,0.68,1.48,1.62
5/14/2021,0.05,0.15,0.66,1.47,1.62
5/13/2021,0.03,0.14,0.68,1.5,1.64
5/12/2021,0.03,0.14,0.71,1.53,1.67
5/11/2021,0.04,0.15,0.64,1.48,1.63
5/10/2021,0.03,0.14,0.64,1.47,1.61
5/7/2021,0.03,0.12,0.63,1.46,1.58
5/6/2021,0.03,0.14,0.65,1.42,1.56
5/5/2021,0.04,0.14,0.64,1.43,1.57
5/4/2021,0.04,0.14,0.66,1.45,1.59
5/3/2021,0.02,0.12,0.68,1.47,1.59
4/30/2021,0.04,0.15,0.7,1.49,1.64
4/29/2021,0.04,0.15,0.7,1.49,1.64
4/28/2021,0.04,0.16,0.69,1.46,1.62
4/27/2021,0.05,0.16,0.71,1.46,1.62
4/26/2021,0.03,0.15,0.67,1.4,1.55
4/23/2021,0.04,0.13,0.67,1.42,1.55
4/22/2021,0.03,0.13,0.65,1.41,1.54
4/21/2021,0.04,0.12,0.66,1.42,1.54
4/20/2021,0.04,0.12,0.66,1.43,1.55
4/19/2021,0.06,0.14,0.69,1.45,1.59
4/16/2021,0.04,0.14,0.68,1.43,1.57
4/15/2021,0.04,0.14,0.65,1.4,1.54
4/14/2021,0.04,0.14,0.71,1.48,1.62
4/13/2021,0.03,0.13,0.69,1.48,1.61
4/12/2021,0.04,0.16,0.71,1.51,1.67
4/9/2021,0.04,0.14,0.71,1.51,1.65
4/8/2021,0.04,0.13,0.71,1.5,1.63
4/7/2021,0.04,0.14,0.71,1.52,1.66
4/6/2021,0.04,0.14,0.72,1.51,1.65
4/5/2021,0.03,0.14,0.77,1.56,1.7
4/2/2021,0.05,0.17,0.78,1.53,1.7
4/1/2021,0.04,0.15,0.73,1.52,1.67
3/31/2021,0.04,0.13,0.76,1.58,1.71
3/30/2021,0.04,0.14,0.74,1.57,1.71
3/29/2021,0.03,0.11,0.75,1.59,1.7
