Date,oneyr-threemo,twoyr-threemo,fiveyr-twoyr,tenyr-twoyr,tenyr-threemo
July 2021,0.03,0.19,0.62,1.2,1.39
July 2021,0.04,0.2,0.64,1.23,1.43
June 2021,0.02,0.2,0.62,1.2,1.4
June 2021,0.04,0.23,0.62,1.22,1.45
June 2021,0.03,0.2,0.65,1.24,1.44
June 2021,0.03,0.22,0.64,1.26,1.48
June 2021,0.03,0.21,0.64,1.23,1.44
June 2021,0.03,0.21,0.64,1.24,1.45
June 2021,0.05,0.21,0.62,1.23,1.44
June 2021,0.04,0.22,0.63,1.23,1.45
June 2021,0.04,0.21,0.63,1.19,1.4
June 2021,0.04,0.19,0.67,1.29,1.48
June 2021,0.04,0.17,0.68,1.36,1.53
June 2021,0.05,0.13,0.63,1.35,1.48
June 2021,0.02,0.13,0.64,1.35,1.48
June 2021,0.02,0.13,0.6,1.31,1.44
June 2021,0.02,0.11,0.59,1.31,1.42
June 2021,0.02,0.13,0.59,1.34,1.47
June 2021,0.03,0.12,0.63,1.39,1.51
June 2021,0.03,0.14,0.63,1.41,1.55
June 2021,0.03,0.12,0.64,1.42,1.54
June 2021,0.02,0.14,0.68,1.47,1.61
June 2021,0.03,0.11,0.67,1.46,1.57
June 2021,0.02,0.14,0.65,1.46,1.6
May 2021,0.04,0.13,0.65,1.44,1.57
May 2021,0.02,0.12,0.67,1.47,1.59
May 2021,0.02,0.12,0.66,1.44,1.56
May 2021,0.02,0.13,0.64,1.41,1.54
May 2021,0.02,0.13,0.67,1.46,1.59
May 2021,0.03,0.16,0.67,1.46,1.62
May 2021,0.04,0.14,0.68,1.48,1.62
May 2021,0.04,0.15,0.71,1.52,1.67
May 2021,0.04,0.14,0.67,1.48,1.62
May 2021,0.04,0.14,0.68,1.48,1.62
May 2021,0.05,0.15,0.66,1.47,1.62
May 2021,0.03,0.14,0.68,1.5,1.64
May 2021,0.03,0.14,0.71,1.53,1.67
May 2021,0.04,0.15,0.64,1.48,1.63
May 2021,0.03,0.14,0.64,1.47,1.61
May 2021,0.03,0.12,0.63,1.46,1.58
