Date,oneyr-threemo,twoyr-threemo,fiveyr-twoyr,tenyr-twoyr,tenyr-threemo
Feb-20,-0.3,-0.41,0.03,0.27,-0.14
Feb-20,-0.27,-0.34,0,0.19,-0.15
Feb-20,-0.27,-0.37,-0.02,0.17,-0.2
Feb-20,-0.23,-0.33,-0.04,0.13,-0.2
Feb-20,-0.18,-0.27,-0.05,0.12,-0.15
Feb-20,-0.13,-0.22,-0.04,0.12,-0.1
Feb-20,-0.12,-0.19,-0.02,0.13,-0.06
Feb-20,-0.11,-0.16,-0.01,0.14,-0.02
Feb-20,-0.11,-0.17,-0.02,0.14,-0.03
Feb-20,-0.09,-0.16,0,0.17,0.01
Feb-20,-0.11,-0.15,-0.01,0.17,0.02
Feb-20,-0.09,-0.14,0.01,0.18,0.04
Feb-20,-0.09,-0.16,-0.01,0.18,0.02
Feb-20,-0.13,-0.21,0.01,0.19,-0.02
Feb-20,-0.07,-0.15,0,0.18,0.03
Feb-20,-0.06,-0.13,0.01,0.21,0.08
Feb-20,-0.08,-0.13,0.02,0.22,0.09
Feb-20,-0.09,-0.16,0.01,0.2,0.04
Feb-20,-0.11,-0.21,-0.01,0.18,-0.03
Jan-20,-0.1,-0.22,-0.01,0.18,-0.04
Jan-20,-0.09,-0.16,-0.02,0.16,0
Jan-20,-0.05,-0.14,-0.01,0.18,0.04
Jan-20,-0.04,-0.12,0.02,0.2,0.08
Jan-20,-0.02,-0.11,0,0.17,0.06
Jan-20,0.01,-0.05,0.02,0.21,0.16
Jan-20,0,-0.04,0.04,0.23,0.19
Jan-20,0,-0.02,0.04,0.24,0.22
Jan-20,-0.02,-0.03,0.04,0.25,0.22
Jan-20,0,0.02,0.05,0.26,0.28
Jan-20,-0.01,0.03,0.05,0.23,0.26
Jan-20,-0.03,-0.01,0.04,0.23,0.22
Jan-20,-0.04,0.01,0.05,0.24,0.25
Jan-20,-0.04,0.01,0.07,0.27,0.28
Jan-20,-0.01,0.02,0.07,0.27,0.29
Jan-20,0,0.04,0.07,0.27,0.31
Jan-20,0.01,0.04,0.09,0.29,0.33
Jan-20,-0.01,0,0.08,0.29,0.29
Jan-20,-0.02,-0.02,0.07,0.27,0.25
Jan-20,0.03,0.01,0.06,0.27,0.28
Jan-20,0.02,0.04,0.09,0.3,0.34
Dec-19,0.04,0.03,0.11,0.34,0.37
Dec-19,0,0.01,0.1,0.32,0.33
Dec-19,-0.06,0.02,0.09,0.29,0.31
Dec-19,-0.05,0.06,0.08,0.26,0.32
Dec-19,-0.05,0.04,0.1,0.28,0.32
Dec-19,-0.06,0.05,0.11,0.29,0.34
Dec-19,-0.06,0.05,0.1,0.29,0.34
Dec-19,-0.05,0.05,0.11,0.3,0.35
Dec-19,-0.02,0.07,0.11,0.29,0.36
Dec-19,-0.03,0.07,0.08,0.26,0.33
Dec-19,-0.03,0.08,0.07,0.24,0.32
Dec-19,-0.03,0.04,0.05,0.21,0.25
Dec-19,-0.01,0.1,0.07,0.24,0.34
Dec-19,-0.02,0.04,0.03,0.18,0.22
Dec-19,0,0.09,0.03,0.2,0.29
Dec-19,0.02,0.09,0.04,0.2,0.29
Dec-19,0.04,0.08,0.06,0.23,0.31
Dec-19,0.02,0.04,0.04,0.22,0.26
Dec-19,0.01,0.03,0.02,0.19,0.22
Dec-19,0,-0.04,0.01,0.19,0.15
Dec-19,0,0.01,0.04,0.22,0.23
Nov-19,0.01,0.02,0.01,0.17,0.19
Nov-19,-0.02,0.01,0,0.14,0.15
Nov-19,-0.01,-0.02,0,0.16,0.14
Nov-19,-0.03,0,0.01,0.15,0.15
Nov-19,-0.02,0.03,0.01,0.16,0.19
Nov-19,-0.03,0.02,0.02,0.17,0.19
Nov-19,-0.03,-0.01,0.02,0.17,0.16
Nov-19,-0.03,0.03,0.03,0.19,0.22
Nov-19,-0.03,0.03,0.03,0.21,0.24
Nov-19,-0.03,0.04,0.04,0.23,0.27
Nov-19,-0.02,0.01,0.05,0.24,0.25
Nov-19,0,0.06,0.06,0.25,0.31
Nov-19,-0.01,0.07,0.07,0.26,0.33
Nov-19,0.03,0.13,0.06,0.26,0.39
